dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2020-09-01,Old Trafford,Manchester,England,Pakistan,England,,,England,,,field,M Burns,DJ Millns,Pakistan,,,,,,,
2020-09-04,The Rose Bowl,Southampton,England,England,Australia,,126,Australia,,,field,MJ Saggers,AG Wharf,England,,,,,,,
2020-09-06,The Rose Bowl,Southampton,England,Australia,England,127,,Australia,,,bat,M Burns,DJ Millns,England,,,,,,,
2020-09-08,The Rose Bowl,Southampton,England,England,Australia,,128,Australia,,,field,MJ Saggers,AG Wharf,Australia,,,,,,,
2020-10-16,Moara Vlasiei Cricket Ground,Moara Vlasiei,Romania,Bulgaria,Romania,,,Bulgaria,,,bat,Syed Atif Naqvi,A Begg,Bulgaria,,,,,,,
2020-10-17,Moara Vlasiei Cricket Ground,Moara Vlasiei,Romania,Romania,Bulgaria,,,Romania,,,bat,Dharmendra Manani,Taranjeet Singh,Romania,,,,,,,
2020-10-18,Moara Vlasiei Cricket Ground,Moara Vlasiei,Romania,Bulgaria,Romania,,,Bulgaria,,,bat,Dharmendra Manani,IA De Silva,Romania,,,,,,,
2020-11-07,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,Zimbabwe,Pakistan,,,Zimbabwe,,,bat,Asif Yaqoob,Aleem Dar,Pakistan,,,,,,,
2020-11-08,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,Zimbabwe,Pakistan,,,Pakistan,,,field,Ahsan Raza,Rashid Riaz,Pakistan,,,,,,,
2020-11-10,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,Zimbabwe,Pakistan,,,Zimbabwe,,,bat,Aleem Dar,Ahsan Raza,Pakistan,,,,,,,
2020-11-27,Eden Park,Auckland,New Zealand,West Indies,New Zealand,,,New Zealand,,,field,CM Brown,WR Knights,New Zealand,,,,,,,
2020-11-27,Newlands,Cape Town,South Africa,South Africa,England,,,England,,,field,A Paleker,AT Holdstock,England,,,,,,,
2020-11-29,Bay Oval,Mount Maunganui,New Zealand,New Zealand,West Indies,,,West Indies,,,field,CM Brown,SB Haig,New Zealand,,,,,,,
2020-11-29,Boland Park,Paarl,South Africa,South Africa,England,,,England,,,field,AT Holdstock,S George,England,,,,,,,
2020-11-30,Bay Oval,Mount Maunganui,New Zealand,New Zealand,West Indies,,,West Indies,,,field,SB Haig,WR Knights,New Zealand,,,,,,,
2020-12-01,Newlands,Cape Town,South Africa,South Africa,England,,,South Africa,,,bat,A Paleker,BP Jele,England,,,,,,,
2020-12-04,Manuka Oval,Canberra,Australia,India,Australia,,129,Australia,,,field,RJ Tucker,SAJ Craig,India,,,,,,,
2020-12-06,Sydney Cricket Ground,Sydney,Australia,Australia,India,130,,India,,,field,P Wilson,SJ Nogajski,India,,,,,,,
