dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2014-11-24,P Sara Oval,Colombo,none,Hong Kong,Nepal,,,Hong Kong,,,field,RSA Palliyaguruge,RR Wimalasiri,Hong Kong,,,,,,,
2014-12-04,Dubai International Cricket Stadium,Dubai,none,New Zealand,Pakistan,,,Pakistan,,,field,Ahmed Shahab,Ahsan Raza,Pakistan,,,,,,,
2014-12-05,Dubai International Cricket Stadium,Dubai,none,New Zealand,Pakistan,,,Pakistan,,,field,Aleem Dar,Shozab Raza,New Zealand,,,,,,,
2015-01-09,Newlands,Cape Town,South Africa,South Africa,West Indies,,,South Africa,,,bat,JD Cloete,S George,West Indies,,,,,,,
2015-01-11,New Wanderers Stadium,Johannesburg,South Africa,South Africa,West Indies,,,West Indies,,,field,S George,AT Holdstock,West Indies,,,,,,,
2015-01-14,Kingsmead,Durban,South Africa,South Africa,West Indies,,,West Indies,,,field,JD Cloete,S George,South Africa,,,,,,,
2015-04-24,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Pakistan,,,Pakistan,,,bat,Anisur Rahman,Sharfuddoula,Bangladesh,,,,,,,
2015-05-22,Gaddafi Stadium,Lahore,Pakistan,Pakistan,Zimbabwe,,,Zimbabwe,,,bat,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2015-05-24,Gaddafi Stadium,Lahore,Pakistan,Pakistan,Zimbabwe,,,Zimbabwe,,,bat,Ahmed Shahab,Ahsan Raza,Pakistan,,,,,,,
2015-06-20,Bready Cricket Club,Londonderry,Ireland,Ireland,Scotland,,,Scotland,,,field,M Hawthorne,NJ Llong,Scotland,,,,,,,
2015-06-23,Old Trafford,Manchester,England,England,New Zealand,,,England,,,bat,RJ Bailey,RT Robinson,England,,,,,,,
2015-07-01,VRA Ground,Amstelveen,Netherlands,Netherlands,Nepal,,,Nepal,,,field,Sarika Prasad,C Shamshuddin,Netherlands,,,,,,,
2015-07-02,Hazelaarweg,Rotterdam,Netherlands,Netherlands,Nepal,,,Netherlands,,,bat,Sarika Prasad,C Shamshuddin,Netherlands,,,,,,,
2015-07-05,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,South Africa,,,South Africa,,,bat,Enamul Haque,Sharfuddoula,South Africa,,,,,,,
2015-07-07,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,South Africa,,,South Africa,,,bat,Anisur Rahman,Enamul Haque,South Africa,,,,,,,
2015-07-09,Grange Cricket Club Ground,Edinburgh,none,Afghanistan,Netherlands,,,Netherlands,,,field,GO Brathwaite,D Odhiambo,Afghanistan,,,,,,,
2015-07-09,Grange Cricket Club Ground,Edinburgh,Scotland,Scotland,United Arab Emirates,,,Scotland,,,field,Ahsan Raza,S George,Scotland,,,,,,,
2015-07-10,Grange Cricket Club Ground,Edinburgh,none,Afghanistan,United Arab Emirates,,,United Arab Emirates,,,bat,NJ Llong,IN Ramage,Afghanistan,,,,,,,
2015-07-11,Grange Cricket Club Ground,Edinburgh,Scotland,Scotland,Netherlands,,,Netherlands,,,bat,VA Kulkarni,D Odhiambo,Netherlands,,,,,,,
2015-07-12,Grange Cricket Club Ground,Edinburgh,Scotland,Scotland,Afghanistan,,,Afghanistan,,,bat,Ahsan Raza,GO Brathwaite,Afghanistan,,,,,,,
2015-07-12,Grange Cricket Club Ground,Edinburgh,none,Netherlands,United Arab Emirates,,,Netherlands,,,field,VA Kulkarni,NJ Llong,Netherlands,,,,,,,
2015-07-13,Civil Service Cricket Club,Belfast,Ireland,Nepal,Ireland,,,Ireland,,,field,AK Chaudhary,JD Cloete,Ireland,,,,,,,
2015-07-15,Civil Service Cricket Club,Belfast,none,Hong Kong,Nepal,,,Hong Kong,,,field,JD Cloete,RSA Palliyaguruge,Hong Kong,,,,,,,
2015-07-15,Civil Service Cricket Club,Belfast,Ireland,Ireland,Papua New Guinea,,,Ireland,,,bat,AK Chaudhary,RSA Palliyaguruge,Papua New Guinea,,,,,,,
2015-07-17,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,India,,,bat,TJ Matibiri,RB Tiffin,India,,,,,,,
2015-07-17,The Village,Dublin,Ireland,Ireland,Hong Kong,,,Ireland,,,field,RSA Palliyaguruge,P Wilson,Hong Kong,,,,,,,
2015-07-17,The Village,Dublin,none,Nepal,Papua New Guinea,,,Papua New Guinea,,,field,JD Cloete,RT Robinson,Papua New Guinea,,,,,,,
2015-07-19,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,Zimbabwe,,,bat,L Rusere,RB Tiffin,Zimbabwe,,,,,,,
2015-07-21,The Village,Dublin,none,Afghanistan,Hong Kong,,,Afghanistan,,,bat,S George,NJ Llong,Hong Kong,,,,,,,
2015-07-23,The Village,Dublin,none,Afghanistan,Papua New Guinea,,,Papua New Guinea,,,bat,GO Brathwaite,AK Chaudhary,Afghanistan,,,,,,,
2015-07-25,Clontarf Cricket Club Ground,Dublin,none,Afghanistan,Oman,,,Afghanistan,,,field,GO Brathwaite,AK Chaudhary,Afghanistan,,,,,,,
2015-07-25,The Village,Dublin,Ireland,Ireland,Netherlands,,,Netherlands,,,field,JD Cloete,VA Kulkarni,Netherlands,,,,,,,
2015-07-25,The Village,Dublin,none,Hong Kong,Scotland,,,Scotland,,,field,S George,RSA Palliyaguruge,Scotland,,,,,,,
2015-07-30,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,Pakistan,,,Pakistan,,,bat,REJ Martinesz,RSA Palliyaguruge,Pakistan,,,,,,,
2015-08-01,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,Pakistan,,,Sri Lanka,,,bat,RSA Palliyaguruge,RR Wimalasiri,Pakistan,,,,,,,
2015-08-09,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,New Zealand,,,Zimbabwe,,,field,L Rusere,RB Tiffin,New Zealand,,,,,,,
2015-08-14,Kingsmead,Durban,South Africa,South Africa,New Zealand,,,South Africa,,,field,JD Cloete,S George,South Africa,,,,,,,
2015-08-16,SuperSport Park,Centurion,South Africa,South Africa,New Zealand,,,New Zealand,,,bat,JD Cloete,S George,New Zealand,,,,,,,
2015-08-31,Sophia Gardens,Cardiff,England,England,Australia,,78,Australia,,,field,MA Gough,RT Robinson,England,,,,,,,
2015-09-27,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Pakistan,,,bat,TJ Matibiri,RB Tiffin,Pakistan,,,,,,,
2015-09-29,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Pakistan,,,bat,L Rusere,RB Tiffin,Pakistan,,,,,,,
2015-10-02,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,India,South Africa,,,South Africa,,,field,VA Kulkarni,C Shamshuddin,South Africa,,,,,,,
2015-10-05,Barabati Stadium,Cuttack,India,India,South Africa,,,South Africa,,,field,CK Nandan,C Shamshuddin,South Africa,,,,,,,
2015-10-26,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,Afghanistan,,,Zimbabwe,,,bat,TJ Matibiri,RB Tiffin,Afghanistan,,,,,,,
2015-10-28,Queens Sports Club,Bulawayo,Zimbabwe,Zimbabwe,Afghanistan,,,Zimbabwe,,,bat,L Rusere,RB Tiffin,Afghanistan,,,,,,,
2015-11-09,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,field,REJ Martinesz,RSA Palliyaguruge,Sri Lanka,,,,,,,
2015-11-11,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,West Indies,,,West Indies,,,bat,REJ Martinesz,RR Wimalasiri,West Indies,,,,,,,
2015-11-13,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Zimbabwe,,,Bangladesh,,,field,Anisur Rahman,Enamul Haque,Bangladesh,,,,,,,
2015-11-15,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Zimbabwe,,,Bangladesh,,,bat,Anisur Rahman,Sharfuddoula,Zimbabwe,,,,,,,
2015-11-21,Sheikh Zayed Stadium,Abu Dhabi,none,Hong Kong,Oman,,,Oman,,,field,VA Kulkarni,Sarika Prasad,Oman,,,,,,,
2015-11-22,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,United Arab Emirates,Oman,,,United Arab Emirates,,,field,VA Kulkarni,Sarika Prasad,United Arab Emirates,,,,,,,
2015-11-25,Sheikh Zayed Stadium,Abu Dhabi,none,Hong Kong,Oman,,,Hong Kong,,,field,VA Kulkarni,Sarika Prasad,Oman,,,,,,,
2015-11-26,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,England,,,bat,Ahsan Raza,Shozab Raza,England,,,,,,,
2015-11-26,Sheikh Zayed Stadium,Abu Dhabi,none,Hong Kong,Oman,,,Hong Kong,,,field,BB Pradhan,RR Wimalasiri,Hong Kong,,,,,,,
2015-11-27,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,England,,,bat,Ahmed Shahab,Shozab Raza,England,,,,,,,
2015-11-30,Sharjah Cricket Stadium,Sharjah,none,Pakistan,England,,,England,,,bat,Ahmed Shahab,Ahsan Raza,England,,,,,,,
2015-11-30,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Oman,,,Oman,,,field,BB Pradhan,RR Wimalasiri,Afghanistan,,,,,,,
2016-01-07,Bay Oval,Mount Maunganui,New Zealand,New Zealand,Sri Lanka,,,Sri Lanka,,,field,PD Jones,DJ Walker,New Zealand,,,,,,,
2016-01-08,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Zimbabwe,,,Afghanistan,,,bat,AK Chaudhary,VA Kulkarni,Afghanistan,,,,,,,
2016-01-10,Eden Park,Auckland,New Zealand,New Zealand,Sri Lanka,,,New Zealand,,,field,BF Bowden,PD Jones,New Zealand,,,,,,,
2016-01-10,Sharjah Cricket Stadium,Sharjah,none,Afghanistan,Zimbabwe,,,Zimbabwe,,,field,VA Kulkarni,C Shamshuddin,Afghanistan,,,,,,,
2016-01-15,Eden Park,Auckland,New Zealand,New Zealand,Pakistan,,,New Zealand,,,field,PD Jones,DJ Walker,Pakistan,,,,,,,
2016-01-15,Sheikh Abu Naser Stadium,Khulna,Bangladesh,Bangladesh,Zimbabwe,,,Zimbabwe,,,bat,Enamul Haque,Sharfuddoula,Bangladesh,,,,,,,
2016-01-17,Seddon Park,Hamilton,New Zealand,New Zealand,Pakistan,,,Pakistan,,,bat,BF Bowden,DJ Walker,New Zealand,,,,,,,
2016-01-17,Sheikh Abu Naser Stadium,Khulna,Bangladesh,Bangladesh,Zimbabwe,,,Bangladesh,,,bat,Anisur Rahman,Sharfuddoula,Bangladesh,,,,,,,
2016-01-20,Sheikh Abu Naser Stadium,Khulna,Bangladesh,Bangladesh,Zimbabwe,,,Zimbabwe,,,bat,Anisur Rahman,Enamul Haque,Zimbabwe,,,,,,,
2016-01-22,Sheikh Abu Naser Stadium,Khulna,Bangladesh,Bangladesh,Zimbabwe,,,Zimbabwe,,,bat,Enamul Haque,Sharfuddoula,Zimbabwe,,,,,,,
2016-01-22,Westpac Stadium,Wellington,New Zealand,New Zealand,Pakistan,,,Pakistan,,,field,BF Bowden,DJ Walker,New Zealand,,,,,,,
2016-01-26,Adelaide Oval,Adelaide,Australia,Australia,India,79,,Australia,,,field,SD Fry,JD Ward,India,,,,,,,
2016-01-29,Melbourne Cricket Ground,Melbourne,Australia,Australia,India,80,,Australia,,,field,SD Fry,P Wilson,India,,,,,,,
2016-01-30,Mission Road Ground,Hong Kong,Hong Kong,Hong Kong,Scotland,,,Hong Kong,,,field,Sarika Prasad,Tabarak Dar,Hong Kong,,,,,,,
2016-01-31,Mission Road Ground,Hong Kong,Hong Kong,Hong Kong,Scotland,,,Hong Kong,,,field,Sarika Prasad,Tabarak Dar,Scotland,,,,,,,
2016-01-31,Sydney Cricket Ground,Sydney,Australia,Australia,India,81,,Australia,,,bat,SD Fry,JD Ward,India,,,,,,,
2016-02-03,ICC Academy,Dubai,United Arab Emirates,United Arab Emirates,Netherlands,,,United Arab Emirates,,,field,CK Nandan,Sarika Prasad,Netherlands,,,,,,,
2016-02-04,ICC Academy,Dubai,United Arab Emirates,United Arab Emirates,Scotland,,,United Arab Emirates,,,bat,CK Nandan,Sarika Prasad,United Arab Emirates,,,,,,,
2016-02-07,Tony Ireland Stadium,Townsville,none,Ireland,Papua New Guinea,,,Papua New Guinea,,,field,BB Pradhan,RJ Tucker,Ireland,,,,,,,
2016-02-09,Maharashtra Cricket Association Stadium,Pune,India,India,Sri Lanka,,,Sri Lanka,,,field,VA Kulkarni,CK Nandan,Sri Lanka,,,,,,,
2016-02-09,Tony Ireland Stadium,Townsville,none,Ireland,Papua New Guinea,,,Papua New Guinea,,,bat,BB Pradhan,RJ Tucker,Papua New Guinea,,,,,,,
2016-02-12,JSCA International Stadium Complex,Ranchi,India,India,Sri Lanka,,,Sri Lanka,,,field,AK Chaudhary,VA Kulkarni,India,,,,,,,
2016-02-14,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,India,Sri Lanka,,,India,,,field,AK Chaudhary,CK Nandan,India,,,,,,,
2016-02-14,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,United Arab Emirates,Ireland,,,United Arab Emirates,,,field,Iftikhar Ali,Rabiul Hoque,Ireland,,,,,,,
2016-02-16,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,United Arab Emirates,Ireland,,,United Arab Emirates,,,bat,Akbar Ali,Iftikhar Ali,United Arab Emirates,,,,,,,
2016-02-19,Khan Shaheb Osman Ali Stadium,Fatullah,none,Hong Kong,Oman,,,Oman,,,bat,Enamul Haque,BB Pradhan,Oman,,,,,,,
2016-02-19,Khan Shaheb Osman Ali Stadium,Fatullah,none,Afghanistan,United Arab Emirates,,,United Arab Emirates,,,bat,Sarika Prasad,Sharfuddoula,United Arab Emirates,,,,,,,
2016-02-19,Newlands,Cape Town,South Africa,South Africa,England,,,South Africa,,,field,JD Cloete,S George,South Africa,,,,,,,
2016-02-20,Khan Shaheb Osman Ali Stadium,Fatullah,none,Afghanistan,Oman,,,Oman,,,bat,Anisur Rahman,Sarika Prasad,Afghanistan,,,,,,,
2016-02-21,Khan Shaheb Osman Ali Stadium,Fatullah,none,Hong Kong,United Arab Emirates,,,Hong Kong,,,bat,BB Pradhan,Sharfuddoula,United Arab Emirates,,,,,,,
2016-02-21,New Wanderers Stadium,Johannesburg,South Africa,South Africa,England,,,South Africa,,,field,JD Cloete,AT Holdstock,South Africa,,,,,,,
2016-02-22,Shere Bangla National Stadium,Mirpur,none,Afghanistan,Hong Kong,,,Hong Kong,,,field,Enamul Haque,BB Pradhan,Afghanistan,,,,,,,
2016-02-22,Shere Bangla National Stadium,Mirpur,none,Oman,United Arab Emirates,,,Oman,,,field,Sarika Prasad,Sharfuddoula,United Arab Emirates,,,,,,,
2016-02-24,Shere Bangla National Stadium,Dhaka,Bangladesh,India,Bangladesh,,,Bangladesh,,,field,RSA Palliyaguruge,Shozab Raza,India,,,,,,,
2016-02-25,Shere Bangla National Stadium,Mirpur,none,Sri Lanka,United Arab Emirates,,,United Arab Emirates,,,field,AK Chaudhary,Sharfuddoula,Sri Lanka,,,,,,,
2016-02-26,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,United Arab Emirates,,,United Arab Emirates,,,field,AK Chaudhary,RSA Palliyaguruge,Bangladesh,,,,,,,
2016-02-27,Shere Bangla National Stadium,Mirpur,none,India,Pakistan,,,India,,,field,RSA Palliyaguruge,Sharfuddoula,India,,,,,,,
2016-02-28,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Sri Lanka,,,Bangladesh,,,bat,AK Chaudhary,Shozab Raza,Bangladesh,,,,,,,
2016-02-29,Shere Bangla National Stadium,Mirpur,none,Pakistan,United Arab Emirates,,,United Arab Emirates,,,bat,Enamul Haque,RSA Palliyaguruge,Pakistan,,,,,,,
2016-03-01,Shere Bangla National Stadium,Mirpur,none,India,Sri Lanka,,,India,,,field,Anisur Rahman,Shozab Raza,India,,,,,,,
2016-03-02,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Pakistan,,,Pakistan,,,bat,AK Chaudhary,RSA Palliyaguruge,Bangladesh,,,,,,,
2016-03-03,Shere Bangla National Stadium,Mirpur,none,India,United Arab Emirates,,,United Arab Emirates,,,bat,Sharfuddoula,Shozab Raza,India,,,,,,,
2016-03-04,Kingsmead,Durban,South Africa,South Africa,Australia,,82,Australia,,,bat,S George,AT Holdstock,South Africa,,,,,,,
2016-03-04,Shere Bangla National Stadium,Mirpur,none,Pakistan,Sri Lanka,,,Pakistan,,,field,AK Chaudhary,Enamul Haque,Pakistan,,,,,,,
2016-03-06,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Australia,,83,Australia,,,field,S George,AT Holdstock,Australia,,,,,,,
2016-03-06,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,India,,,India,,,field,RSA Palliyaguruge,Shozab Raza,India,,,,,,,
2016-03-08,Vidarbha Cricket Association Stadium,Nagpur,none,Afghanistan,Scotland,,,Afghanistan,,,bat,M Erasmus,RK Illingworth,Afghanistan,,,,,,,
2016-03-08,Vidarbha Cricket Association Stadium,Nagpur,none,Hong Kong,Zimbabwe,,,Hong Kong,,,field,Aleem Dar,IJ Gould,Zimbabwe,,,,,,,
2016-03-09,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Ireland,Oman,,,Ireland,,,bat,CB Gaffaney,NJ Llong,Oman,,,,,,,
2016-03-09,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Bangladesh,Netherlands,,,Netherlands,,,field,S Ravi,RJ Tucker,Bangladesh,,,,,,,
2016-03-09,Newlands,Cape Town,South Africa,South Africa,Australia,,84,South Africa,,,bat,S George,AT Holdstock,Australia,,,,,,,
2016-03-10,Vidarbha Cricket Association Stadium,Nagpur,none,Afghanistan,Hong Kong,,,Hong Kong,,,bat,IJ Gould,RK Illingworth,Afghanistan,,,,,,,
2016-03-10,Vidarbha Cricket Association Stadium,Nagpur,none,Scotland,Zimbabwe,,,Zimbabwe,,,bat,Aleem Dar,M Erasmus,Zimbabwe,,,,,,,
2016-03-11,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Ireland,Bangladesh,,,Bangladesh,,,field,NJ Llong,RJ Tucker,Ireland,,,,,,,
2016-03-12,Vidarbha Cricket Association Stadium,Nagpur,none,Afghanistan,Zimbabwe,,,Afghanistan,,,bat,Aleem Dar,RK Illingworth,Afghanistan,,,,,,,
2016-03-12,Vidarbha Cricket Association Stadium,Nagpur,none,Hong Kong,Scotland,,,Hong Kong,,,bat,M Erasmus,IJ Gould,Scotland,,,,,,,
2016-03-13,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Ireland,Netherlands,,,Ireland,,,field,NJ Llong,S Ravi,Netherlands,,,,,,,
2016-03-13,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Bangladesh,Oman,,,Oman,,,field,CB Gaffaney,RJ Tucker,Bangladesh,,,,,,,
2016-03-15,Vidarbha Cricket Association Stadium,Nagpur,India,India,New Zealand,,,New Zealand,,,bat,HDPK Dharmasena,RK Illingworth,New Zealand,,,,,,,
2016-03-16,Eden Gardens,Kolkata,none,Bangladesh,Pakistan,,,Pakistan,,,bat,IJ Gould,RA Kettleborough,Pakistan,,,,,,,
2016-03-16,Wankhede Stadium,Mumbai,none,England,West Indies,,,West Indies,,,field,CB Gaffaney,RJ Tucker,West Indies,,,,,,,
2016-03-17,Eden Gardens,Kolkata,none,Afghanistan,Sri Lanka,,,Afghanistan,,,bat,BNJ Oxenford,JS Wilson,Sri Lanka,,,,,,,
2016-03-18,Himachal Pradesh Cricket Association Stadium,Dharamsala,none,Australia,New Zealand,85,,New Zealand,,,bat,M Erasmus,NJ Llong,New Zealand,,,,,,,
2016-03-18,Wankhede Stadium,Mumbai,none,England,South Africa,,,England,,,field,S Ravi,PR Reiffel,England,,,,,,,
2016-03-19,Eden Gardens,Kolkata,India,India,Pakistan,,,India,,,field,IJ Gould,RA Kettleborough,India,,,,,,,
2016-03-20,M Chinnaswamy Stadium,Bangalore,none,Sri Lanka,West Indies,,,West Indies,,,field,Aleem Dar,JD Cloete,West Indies,,,,,,,
2016-03-20,Wankhede Stadium,Mumbai,none,Afghanistan,South Africa,,,South Africa,,,bat,CB Gaffaney,PR Reiffel,South Africa,,,,,,,
2016-03-21,M Chinnaswamy Stadium,Bangalore,none,Australia,Bangladesh,86,,Australia,,,field,IJ Gould,RA Kettleborough,Australia,,,,,,,
2016-03-22,Punjab Cricket Association IS Bindra Stadium,Chandigarh,none,New Zealand,Pakistan,,,New Zealand,,,bat,RK Illingworth,NJ Llong,New Zealand,,,,,,,
2016-03-23,Feroz Shah Kotla,Delhi,none,Afghanistan,England,,,England,,,bat,S Ravi,RJ Tucker,England,,,,,,,
2016-03-23,M Chinnaswamy Stadium,Bangalore,India,India,Bangladesh,,,Bangladesh,,,field,Aleem Dar,BNJ Oxenford,India,,,,,,,
2016-03-25,Punjab Cricket Association IS Bindra Stadium,Chandigarh,none,Australia,Pakistan,87,,Australia,,,bat,HDPK Dharmasena,M Erasmus,Australia,,,,,,,
2016-03-25,Vidarbha Cricket Association Stadium,Nagpur,none,South Africa,West Indies,,,West Indies,,,field,IJ Gould,RA Kettleborough,West Indies,,,,,,,
2016-03-26,Eden Gardens,Kolkata,none,Bangladesh,New Zealand,,,New Zealand,,,bat,JD Cloete,MA Gough,New Zealand,,,,,,,
2016-03-26,Feroz Shah Kotla,Delhi,none,England,Sri Lanka,,,Sri Lanka,,,field,PR Reiffel,RJ Tucker,England,,,,,,,
2016-03-27,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India,India,Australia,,88,Australia,,,bat,HDPK Dharmasena,M Erasmus,India,,,,,,,
2016-03-27,Vidarbha Cricket Association Stadium,Nagpur,none,Afghanistan,West Indies,,,West Indies,,,field,Aleem Dar,BNJ Oxenford,Afghanistan,,,,,,,
2016-03-28,Feroz Shah Kotla,Delhi,none,South Africa,Sri Lanka,,,South Africa,,,field,S Ravi,RJ Tucker,South Africa,,,,,,,
2016-03-30,Feroz Shah Kotla,Delhi,none,England,New Zealand,,,England,,,field,HDPK Dharmasena,RJ Tucker,England,,,,,,,
2016-03-31,Wankhede Stadium,Mumbai,India,India,West Indies,,,West Indies,,,field,IJ Gould,RA Kettleborough,West Indies,,,,,,,
2016-04-03,Eden Gardens,Kolkata,none,England,West Indies,,,West Indies,,,field,HDPK Dharmasena,RJ Tucker,West Indies,,,,,,,
2016-06-18,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,India,,,field,TJ Matibiri,RB Tiffin,Zimbabwe,,,,,,,
2016-06-20,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,Zimbabwe,,,bat,L Rusere,RB Tiffin,India,,,,,,,
2016-06-22,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,Zimbabwe,,,field,TJ Matibiri,RB Tiffin,India,,,,,,,
2016-07-05,The Rose Bowl,Southampton,England,England,Sri Lanka,,,Sri Lanka,,,bat,RJ Bailey,MA Gough,England,,,,,,,
2016-08-27,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,India,West Indies,,,India,,,field,N Duguid,JS Wilson,West Indies,,,,,,,
2016-08-28,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,West Indies,India,,,India,,,field,LS Reifer,JS Wilson,India,,,,,,,
2016-09-05,Bready Cricket Club,Londonderry,Ireland,Ireland,Hong Kong,,,Hong Kong,,,bat,R Black,AJ Neill,Hong Kong,,,,,,,
2016-09-06,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,Australia,,89,Sri Lanka,,,field,REJ Martinesz,RR Wimalasiri,Australia,,,,,,,
2016-09-07,Old Trafford,Manchester,England,England,Pakistan,,,England,,,bat,MA Gough,RT Robinson,Pakistan,,,,,,,
2016-09-09,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,Australia,,90,Sri Lanka,,,bat,REJ Martinesz,RSA Palliyaguruge,Australia,,,,,,,
2016-09-23,Dubai International Cricket Stadium,Dubai,none,Pakistan,West Indies,,,Pakistan,,,field,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2016-09-24,Dubai International Cricket Stadium,Dubai,none,Pakistan,West Indies,,,West Indies,,,field,Ahmed Shahab,Shozab Raza,Pakistan,,,,,,,
2016-09-27,Sheikh Zayed Stadium,Abu Dhabi,none,Pakistan,West Indies,,,Pakistan,,,field,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2016-12-14,ICC Academy,Dubai,United Arab Emirates,United Arab Emirates,Afghanistan,,,Afghanistan,,,bat,Ahmed Shah Durrani,Iftikhar Ali,Afghanistan,,,,,,,
2016-12-16,Dubai International Cricket Stadium,Dubai,United Arab Emirates,United Arab Emirates,Afghanistan,,,United Arab Emirates,,,bat,Ahmed Shah Durrani,Akbar Ali,Afghanistan,,,,,,,
2016-12-18,ICC Academy,Dubai,United Arab Emirates,United Arab Emirates,Afghanistan,,,Afghanistan,,,bat,Akbar Ali,Iftikhar Ali,Afghanistan,,,,,,,
2017-01-03,McLean Park,Napier,New Zealand,New Zealand,Bangladesh,,,Bangladesh,,,bat,SB Haig,WR Knights,New Zealand,,,,,,,
2017-01-06,Bay Oval,Mount Maunganui,New Zealand,New Zealand,Bangladesh,,,Bangladesh,,,field,CM Brown,SB Haig,New Zealand,,,,,,,
2017-01-08,Bay Oval,Mount Maunganui,New Zealand,New Zealand,Bangladesh,,,Bangladesh,,,field,CM Brown,WR Knights,New Zealand,,,,,,,
2017-01-14,Sheikh Zayed Stadium,Abu Dhabi,none,Afghanistan,Ireland,,,Ireland,,,bat,Iftikhar Ali,BB Pradhan,Afghanistan,,,,,,,
2017-01-14,Sheikh Zayed Stadium,Abu Dhabi,none,Hong Kong,Scotland,,,Scotland,,,bat,Ahmed Shah Pakteen,AJ Neill,Scotland,,,,,,,
2017-01-15,Sheikh Zayed Stadium,Abu Dhabi,none,Netherlands,Oman,,,Oman,,,bat,AJT Dowdalls,Tabarak Dar,Netherlands,,,,,,,
2017-01-16,Sheikh Zayed Stadium,Abu Dhabi,United Arab Emirates,United Arab Emirates,Afghanistan,,,Afghanistan,,,field,AJT Dowdalls,Tabarak Dar,Afghanistan,,,,,,,
2017-01-16,Sheikh Zayed Stadium,Abu Dhabi,none,Hong Kong,Oman,,,Oman,,,field,Iftikhar Ali,AJ Neill,Oman,,,,,,,
2017-01-17,Sheikh Zayed Stadium,Abu Dhabi,none,Netherlands,Scotland,,,Netherlands,,,field,AJ Neill,Tabarak Dar,Scotland,,,,,,,
2017-01-18,Dubai International Cricket Stadium,Dubai,none,Hong Kong,Netherlands,,,Hong Kong,,,bat,AJT Dowdalls,AJ Neill,Hong Kong,,,,,,,
2017-01-18,Dubai International Cricket Stadium,Dubai,United Arab Emirates,United Arab Emirates,Ireland,,,Ireland,,,bat,Ahmed Shah Durrani,BB Pradhan,Ireland,,,,,,,
2017-01-19,Dubai International Cricket Stadium,Dubai,none,Oman,Scotland,,,Oman,,,bat,Ahmed Shah Pakteen,Iftikhar Ali,Scotland,,,,,,,
2017-01-20,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Oman,,,Afghanistan,,,field,AJT Dowdalls,AJ Neill,Afghanistan,,,,,,,
